
Image Name                     PID Session Name        Session#    Mem Usage
AggregatorHost.exe            8324 Services                   0     10,352 K
svchost.exe                   8372 Console                    1     28,740 K
svchost.exe                   8392 Services                   0     18,660 K
taskhostw.exe                 9024 Console                    1     23,968 K
WmiPrvSE.exe                  9080 Services                   0     75,252 K
postgres.exe                  9532 Services                   0     19,412 K
conhost.exe                   9544 Services                   0      7,288 K
svchost.exe                   9660 Services                   0      7,076 K
KAPSService.exe              10156 Services                   0     14,760 K
gamingservices.exe           10164 Services                   0     31,864 K
SmartThingsService.exe       10204 Services                   0     14,296 K
gamingservicesnet.exe        10224 Services                   0      5,076 K
wslservice.exe                9596 Services                   0     17,672 K
postgres.exe                 10304 Services                   0      7,500 K
WUDFHost.exe                 10404 Services                   0     22,376 K
conhost.exe                  10456 Services                   0      8,316 K
SearchIndexer.exe            11060 Services                   0     32,040 K
rundll32.exe                 11100 Console                    1      6,592 K
svchost.exe                  11248 Services                   0     19,260 K
KAPS.exe                     10732 Services                   0     16,532 K
uihost.exe                   11616 Console                    1     24,264 K
explorer.exe                 11816 Console                    1    511,372 K
svchost.exe                  12368 Services                   0      8,500 K
svchost.exe                  12744 Services                   0     13,776 K
svchost.exe                  12828 Services                   0      8,552 K
postgres.exe                 12856 Services                   0      7,700 K
postgres.exe                 12864 Services                   0      8,780 K
postgres.exe                 12876 Services                   0     11,748 K
postgres.exe                 12892 Services                   0      8,324 K
postgres.exe                 12900 Services                   0      7,732 K
postgres.exe                 12908 Services                   0      8,004 K
svchost.exe                   2124 Services                   0      4,400 K
svchost.exe                  13368 Services                   0     11,080 K
PowerToys.exe                13796 Console                    1      6,492 K
svchost.exe                  13876 Console                    1     32,476 K
dptf_helper.exe              13908 Console                    1      6,204 K
RtkAudUService64.exe         14024 Console                    1      9,660 K
nvcontainer.exe              14052 Console                    1     27,332 K
nvcontainer.exe              14108 Console                    1     35,484 K
svchost.exe                  14220 Services                   0     20,700 K
svchost.exe                   7856 Services                   0     12,320 K
svchost.exe                  14520 Services                   0     21,824 K
svchost.exe                  15276 Services                   0      5,796 K
Widgets.exe                  15628 Console                    1     11,952 K
RuntimeBroker.exe            15868 Console                    1     50,304 K
svchost.exe                  16088 Console                    1     10,024 K
vmmemCmZygote                16168 Services                   0          N/A
svchost.exe                  16200 Services                   0      7,912 K
dllhost.exe                  13184 Console                    1     15,096 K
ctfmon.exe                   17052 Console                    1     67,056 K
TabTip.exe                   17088 Console                    1     22,252 K
svchost.exe                  17172 Services                   0      6,124 K
svchost.exe                  17716 Console                    1     20,136 K
svchost.exe                  17852 Services                   0     17,740 K
igfxEMN.exe                  13436 Console                    1     13,112 K
nvsphelper64.exe              1068 Console                    1     13,088 K
NVIDIA Share.exe              5944 Console                    1     62,452 K
SecurityHealthService.exe     3980 Services                   0     16,268 K
NVIDIA Share.exe             14620 Console                    1     32,544 K
lghub_updater.exe            17548 Services                   0     16,596 K
NVIDIA Web Helper.exe        18624 Console                    1     45,760 K
conhost.exe                  18640 Console                    1      6,252 K
PowerToys.AlwaysOnTop.exe    18648 Console                    1        996 K
PowerToys.ColorPickerUI.e    18860 Console                    1      3,736 K
PowerToys.FancyZones.exe     18948 Console                    1      3,112 K
PowerToys.PowerLauncher.e    19036 Console                    1    132,980 K
PowerToys.PowerAccent.exe    19064 Console                    1      8,844 K
PowerToys.PowerOCR.exe       19220 Console                    1        612 K
SecurityHealthSystray.exe    18288 Console                    1     10,604 K
RtkAudUService64.exe         12740 Console                    1     13,576 K
NVIDIA Share.exe             15184 Console                    1     53,740 K
WavesSvc64.exe               19560 Console                    1     33,736 K
PhoneExperienceHost.exe      20360 Console                    1    290,792 K
WidgetService.exe            19996 Console                    1     22,656 K
RuntimeBroker.exe            13812 Console                    1     15,616 K
MSPCManager.exe               1780 Console                    1    114,612 K
MSPCWndManager.exe            2452 Console                    1     65,192 K
msedgewebview2.exe           20336 Console                    1     76,380 K
msedgewebview2.exe           12924 Console                    1      8,076 K
msedgewebview2.exe           20636 Console                    1     42,492 K
msedgewebview2.exe           20644 Console                    1     26,116 K
msedgewebview2.exe           20668 Console                    1     14,772 K
msedgewebview2.exe           20792 Console                    1     39,648 K
msedgewebview2.exe           21008 Console                    1     36,140 K
lghub.exe                    14140 Console                    1     31,360 K
lghub_system_tray.exe         8492 Console                    1     46,892 K
lghub.exe                    12064 Console                    1     30,548 K
lghub.exe                    19684 Console                    1     15,652 K
lghub_agent.exe              21288 Console                    1     71,820 K
SmartThingsSystrayCompone    21944 Console                    1     41,864 K
RuntimeBroker.exe            22504 Console                    1     20,480 K
PAD.Console.Host.exe         21932 Console                    1    224,100 K
YourPhoneAppProxy.exe        22732 Console                    1     85,428 K
svchost.exe                  22768 Services                   0     11,836 K
lghub.exe                    23036 Console                    1     16,300 K
RuntimeBroker.exe            23128 Console                    1     10,672 K
ApplicationFrameHost.exe      7956 Console                    1     37,744 K
svchost.exe                   6188 Services                   0     13,060 K
svchost.exe                   8244 Console                    1     23,616 K
BraveUpdate.exe               7028 Services                   0      2,188 K
DDVRulesProcessor.exe        15944 Services                   0     15,592 K
Dell.D3.WinSvc.exe            4524 Services                   0     77,052 K
DellSupportAssistRemedati     4564 Services                   0     78,876 K
ServiceShell.exe             16724 Services                   0     67,340 K
Dell.TechHub.exe             20208 Services                   0     39,316 K
SgrmBroker.exe                9864 Services                   0     11,112 K
Dell.TechHub.Diagnostics.     7040 Services                   0     55,312 K
conhost.exe                  11052 Services                   0      8,768 K
Dell.TechHub.Analytics.Su    12628 Services                   0     56,420 K
conhost.exe                  15596 Services                   0      8,756 K
Dell.DCF.UA.Bradbury.API.    10088 Services                   0     54,716 K
conhost.exe                   1004 Services                   0      8,752 K
Dell.TechHub.DataManager.     3676 Services                   0    100,568 K
conhost.exe                   6676 Services                   0      8,756 K
Dell.TechHub.Instrumentat    14000 Services                   0    139,864 K
conhost.exe                   6784 Services                   0      8,924 K
SupportAssistAgent.exe        6024 Services                   0    114,068 K
svchost.exe                   9584 Services                   0     11,508 K
DDVDataCollector.exe         12484 Services                   0     90,572 K
DDVCollectorSvcApi.exe        3420 Services                   0      8,400 K
Dell.TechHub.Instrumentat    12652 Console                    1     72,268 K
NisSrv.exe                    6604 Services                   0     11,608 K
dllhost.exe                  17572 Console                    1      9,368 K
svchost.exe                   5908 Console                    1     12,588 K
svchost.exe                  26952 Services                   0     11,396 K
dllhost.exe                  26548 Console                    1     24,416 K
TextInputHost.exe            31640 Console                    1    232,860 K
WmiPrvSE.exe                  8280 Services                   0     45,008 K
SearchHost.exe               33048 Console                    1    109,192 K
logi_crashpad_handler.exe    26964 Console                    1      7,344 K
logi_crashpad_handler.exe    26220 Services                   0      6,160 K
unsecapp.exe                  5572 Console                    1     10,528 K
SystemSettings.exe           12456 Console                    1      2,112 K
UserOOBEBroker.exe           32568 Console                    1      8,748 K
svchost.exe                  13744 Services                   0      7,436 K
svchost.exe                  13612 Services                   0     12,708 K
RuntimeBroker.exe            26028 Console                    1     24,212 K
Slack.exe                    22924 Console                    1    109,024 K
Slack.exe                    33484 Console                    1     28,428 K
Slack.exe                     8852 Console                    1     81,148 K
Slack.exe                      944 Console                    1     44,620 K
RuntimeBroker.exe            32196 Console                    1      9,692 K
Slack.exe                    30168 Console                    1    186,340 K
devenv.exe                   25256 Console                    1  2,944,168 K
PerfWatson2.exe              29396 Console                    1     65,400 K
Microsoft.ServiceHub.Cont     5464 Console                    1     58,068 K
ServiceHub.VSDetouredHost     8576 Console                    1     76,592 K
ServiceHub.IdentityHost.e     6080 Console                    1     61,044 K
vsls-agent.exe                3120 Console                    1     44,588 K
conhost.exe                  28180 Console                    1      6,740 K
ServiceHub.SettingsHost.e    22056 Console                    1    107,368 K
ServiceHub.Host.netfx.x86    21784 Console                    1     58,676 K
ServiceHub.ThreadedWaitDi    30184 Console                    1     93,480 K
ServiceHub.RoslynCodeAnal    24912 Console                    1    246,444 K
ServiceHub.IndexingServic    29060 Console                    1     58,552 K
ServiceHub.Host.dotnet.x6    22964 Console                    1     25,876 K
ServiceHub.Host.AnyCPU.ex     9840 Console                    1     93,024 K
ServiceHub.TestWindowStor     5048 Console                    1     65,188 K
powershell.exe               28220 Console                    1     61,384 K
conhost.exe                  30248 Console                    1      6,764 K
powershell.exe                2524 Console                    1     45,032 K
conhost.exe                  15264 Console                    1      6,752 K
ServiceHub.IntellicodeMod    30548 Console                    1     52,428 K
ServiceHub.Host.dotnet.x6    26296 Console                    1     37,884 K
Todo.exe                     34656 Console                    1    197,816 K
RuntimeBroker.exe            32368 Console                    1     30,668 K
StartMenuExperienceHost.e    16612 Console                    1    102,676 K
RuntimeBroker.exe            25036 Console                    1     26,036 K
Microsoft.VisualStudio.We    22332 Console                    1    113,996 K
node.exe                     34348 Console                    1     26,080 K
node.exe                     37352 Console                    1     30,944 K
conhost.exe                  24672 Console                    1      6,688 K
conhost.exe                   6088 Console                    1      6,688 K
node.exe                     40400 Console                    1     28,408 K
node.exe                     36888 Console                    1     27,400 K
conhost.exe                   5804 Console                    1      6,672 K
taskhostw.exe                39628 Console                    1     13,620 K
copilot-agent-win.exe         4468 Console                    1     36,644 K
conhost.exe                  34168 Console                    1      6,676 K
LockApp.exe                  33796 Console                    1     54,836 K
RuntimeBroker.exe            39060 Console                    1     34,200 K
w3wp.exe                     28020 Services                   0    737,660 K
prunsrv.exe                  42416 Services                   0      5,588 K
conhost.exe                  42664 Services                   0      9,068 K
java.exe                     42528 Services                   0    462,340 K
sqlservr.exe                  6936 Services                   0    256,164 K
Slack.exe                    43500 Console                    1     86,848 K
ServiceHub.DataWarehouseH    34332 Console                    1     65,252 K
WebViewHost.exe               5132 Console                    1     36,148 K
svchost.exe                  14212 Services                   0      6,184 K
OneDrive.exe                 16644 Console                    1     97,156 K
FileSyncHelper.exe           25380 Services                   0     20,148 K
audiodg.exe                  43144 Services                   0    127,896 K
ShellExperienceHost.exe      14804 Console                    1     79,088 K
RuntimeBroker.exe            30088 Console                    1     32,976 K
SystemSettingsBroker.exe      2940 Console                    1     30,676 K
msedge.exe                   27416 Console                    1    539,624 K
msedge.exe                   53680 Console                    1      8,652 K
msedge.exe                   25692 Console                    1    329,164 K
msedge.exe                   14720 Console                    1     54,712 K
msedge.exe                   14840 Console                    1     19,824 K
msedge.exe                   33716 Console                    1     36,192 K
msedge.exe                   51268 Console                    1    144,256 K
msedge.exe                   43900 Console                    1     91,504 K
msedge.exe                   26816 Console                    1    117,688 K
msedge.exe                   45136 Console                    1     45,144 K
cmd.exe                      16700 Console                    1      8,252 K
conhost.exe                   7776 Console                    1      8,524 K
msedge.exe                   13160 Console                    1     48,280 K
msedge.exe                   26800 Console                    1     48,732 K
PAD.BrowserNativeMessageH    37412 Console                    1     46,996 K
msedge.exe                   32480 Console                    1     67,164 K
msedge.exe                   13120 Console                    1    257,988 K
msedge.exe                   39016 Console                    1     21,860 K
msedge.exe                    5116 Console                    1     85,036 K
msedge.exe                   18216 Console                    1     24,176 K
msedge.exe                    2328 Console                    1     91,552 K
msedge.exe                   43932 Console                    1     43,156 K
msedge.exe                   38104 Console                    1    146,620 K
msedge.exe                   28088 Console                    1     50,808 K
msedge.exe                   23404 Console                    1     42,496 K
cmd.exe                      39616 Console                    1      8,252 K
conhost.exe                  40600 Console                    1      8,520 K
PAD.BrowserNativeMessageH    14424 Console                    1     44,540 K
msedge.exe                   44884 Console                    1     85,944 K
SmartThings.exe              49840 Console                    1     55,856 K
mfpmp.exe                    50700 Console                    1    151,256 K
Spotify.exe                  11352 Console                    1    101,784 K
Spotify.exe                  43960 Console                    1     17,192 K
Spotify.exe                  42216 Console                    1     42,776 K
Spotify.exe                  22536 Console                    1     22,992 K
Spotify.exe                   9208 Console                    1     35,316 K
backgroundTaskHost.exe       20084 Console                    1     11,940 K
RuntimeBroker.exe            49956 Console                    1      7,772 K
Spotify.exe                  53600 Console                    1     77,252 K
msedge.exe                   11896 Console                    1     20,420 K
msedge.exe                   24524 Console                    1     15,388 K
msedge.exe                   33392 Console                    1     42,784 K
msedge.exe                   44592 Console                    1    142,588 K
msedge.exe                   31948 Console                    1     65,620 K
msedge.exe                   51028 Console                    1    146,380 K
msedge.exe                   47888 Console                    1     14,888 K
msedge.exe                   32756 Console                    1     12,084 K
WhatsApp.exe                 41036 Console                    1     21,876 K
RuntimeBroker.exe            19696 Console                    1     21,712 K
msedge.exe                   39100 Console                    1    143,168 K
msedge.exe                   48496 Console                    1     89,112 K
msedge.exe                   36076 Console                    1     50,948 K
msedge.exe                   48168 Console                    1     41,652 K
msedge.exe                   51512 Console                    1     89,244 K
msedgewebview2.exe           17168 Console                    1     87,744 K
msedgewebview2.exe           15704 Console                    1      7,908 K
msedgewebview2.exe           50548 Console                    1     47,992 K
msedgewebview2.exe            7344 Console                    1     25,848 K
msedgewebview2.exe           47064 Console                    1     16,840 K
msedgewebview2.exe           49344 Console                    1     56,808 K
msedgewebview2.exe           33152 Console                    1     42,700 K
msedgewebview2.exe           44684 Console                    1     50,328 K
msedgewebview2.exe           41100 Console                    1     51,708 K
msedge.exe                   40940 Console                    1     91,908 K
DataExchangeHost.exe         43592 Console                    1     19,868 K
Code.exe                     24060 Console                    1    123,064 K
Code.exe                     24580 Console                    1     24,988 K
Code.exe                     37776 Console                    1    412,988 K
Code.exe                     38084 Console                    1     40,052 K
Code.exe                     40132 Console                    1    284,112 K
Code.exe                     52204 Console                    1    218,228 K
Code.exe                     30428 Console                    1     87,696 K
